Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers,FlockingWinter,FlockingFall
S63858589,Chestnut-backed Chickadee,Poecile rufescens,21591,3,CA-BC,Capital,L9945501,UVIC-EOW6,48.4613442,-123.3099217,1/24/20,8:55 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud",,Y,Y
S63858739,Chestnut-backed Chickadee,Poecile rufescens,21591,3,CA-BC,Capital,L10001045,UVIC-MWB3,48.4663974,-123.3144692,1/24/20,9:25 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63858673,Chestnut-backed Chickadee,Poecile rufescens,21591,4,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,Y,Y
S63858673,Common Raven,Corvus corax,21121,1,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,N,Y
S63858282,Dark-eyed Junco,Junco hyemalis,32449,3,CA-BC,Capital,L9957789,UVIC-DTB1,48.4648955,-123.313965,1/24/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63858365,Dark-eyed Junco,Junco hyemalis,32449,1,CA-BC,Capital,L9963091,UVIC-FIA2,48.4620912,-123.3170237,1/24/20,8:25 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud",,Y,Y
S63858739,Dark-eyed Junco,Junco hyemalis,32449,5,CA-BC,Capital,L10001045,UVIC-MWB3,48.4663974,-123.3144692,1/24/20,9:25 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63858282,Glaucous-winged Gull,Larus glaucescens,6484,2,CA-BC,Capital,L9957789,UVIC-DTB1,48.4648955,-123.313965,1/24/20,8:20 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"David Turpin Building, DTB, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,N
S63858739,Glaucous-winged Gull,Larus glaucescens,6484,3,CA-BC,Capital,L10001045,UVIC-MWB3,48.4663974,-123.3144692,1/24/20,9:25 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,N
S63858673,Glaucous-winged Gull,Larus glaucescens,6484,1,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,Y,N
S63858673,Hermit Thrush,Catharus guttatus,27739,1,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,N,N
S63858673,House Finch,Haemorhous mexicanus,31648,3,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,N,Y
S63858365,Ruby-crowned Kinglet,Corthylio calendula,26270,1,CA-BC,Capital,L9963091,UVIC-FIA2,48.4620912,-123.3170237,1/24/20,8:25 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud",,N,Y
S63858739,Ruby-crowned Kinglet,Corthylio calendula,26270,1,CA-BC,Capital,L10001045,UVIC-MWB3,48.4663974,-123.3144692,1/24/20,9:25 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,Y
S63858673,Ruby-crowned Kinglet,Corthylio calendula,26270,1,CA-BC,Capital,L10001125,UVIC-UVC4,48.4647385,-123.311095,1/24/20,9:10 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud.",,N,Y
S63859122,American Crow,Corvus brachyrhynchos,21054,2,CA-BC,Capital,L10636829,UVIC-DTB3,48.4648658,-123.3143125,1/26/20,8:53 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 3  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63858820,American Robin,Turdus migratorius,27969,2,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,1/26/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast, light rain",,Y,Y
S63859189,American Robin,Turdus migratorius,27969,8,CA-BC,Capital,L10636843,UVIC-FIA7,48.4621382,-123.3164663,1/26/20,9:06 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 7  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud and heavy gusts",,Y,Y
S63859122,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L10636829,UVIC-DTB3,48.4648658,-123.3143125,1/26/20,8:53 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 3  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,N
S63859029,Anna's Hummingbird,Calypte anna,4752,2,CA-BC,Capital,L10636819,UVIC-MWB1,48.4658087,-123.314207,1/26/20,8:46 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,N
S63858909,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9963071,UVIC-UVC9,48.4655211,-123.3117689,1/26/20,8:37 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 9.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,N
S63859122,Bewick's Wren,Thryomanes bewickii,26787,1,CA-BC,Capital,L10636829,UVIC-DTB3,48.4648658,-123.3143125,1/26/20,8:53 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 3  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,Y
S63858909,Bewick's Wren,Thryomanes bewickii,26787,1,CA-BC,Capital,L9963071,UVIC-UVC9,48.4655211,-123.3117689,1/26/20,8:37 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 9.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,Y
S63858909,Chestnut-backed Chickadee,Poecile rufescens,21591,3,CA-BC,Capital,L9963071,UVIC-UVC9,48.4655211,-123.3117689,1/26/20,8:37 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 9.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63859029,Dark-eyed Junco,Junco hyemalis,32449,4,CA-BC,Capital,L10636819,UVIC-MWB1,48.4658087,-123.314207,1/26/20,8:46 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,Y
S63858820,Fox Sparrow,Passerella iliaca,32425,1,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,1/26/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast, light rain",,N,N
S63859189,Fox Sparrow,Passerella iliaca,32425,1,CA-BC,Capital,L10636843,UVIC-FIA7,48.4621382,-123.3164663,1/26/20,9:06 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 7  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud and heavy gusts",,N,N
S63859243,Glaucous-winged Gull,Larus glaucescens,6484,2,CA-BC,Capital,L10001079,UVIC-MSB5,48.461665,-123.3128515,1/26/20,9:12 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: could and heavy gusts",,Y,N
S63858909,Glaucous-winged Gull,Larus glaucescens,6484,1,CA-BC,Capital,L9963071,UVIC-UVC9,48.4655211,-123.3117689,1/26/20,8:37 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 9.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,Y,N
S63859189,Golden-crowned Kinglet,Regulus satrapa,26274,2,CA-BC,Capital,L10636843,UVIC-FIA7,48.4621382,-123.3164663,1/26/20,9:06 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 7  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: cloud and heavy gusts",,Y,Y
S63859122,House Finch,Haemorhous mexicanus,31648,7,CA-BC,Capital,L10636829,UVIC-DTB3,48.4648658,-123.3143125,1/26/20,8:53 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"David Turpin Building, DTB, Facade 3  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: mixed sun and cloud.",,N,Y
S63858820,Northern Flicker,Colaptes auratus,11572,1,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,1/26/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast, light rain",,N,N
S63859243,Pacific Wren,Troglodytes pacificus,26705,2,CA-BC,Capital,L10001079,UVIC-MSB5,48.461665,-123.3128515,1/26/20,9:12 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: could and heavy gusts",,N,N
S63858820,Song Sparrow,Melospiza melodia,32601,1,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,1/26/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast, light rain",,N,N
S63858820,Spotted Towhee,Pipilo maculatus,32713,2,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,1/26/20,8:20 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast, light rain",,N,Y
S63859243,Spotted Towhee,Pipilo maculatus,32713,1,CA-BC,Capital,L10001079,UVIC-MSB5,48.461665,-123.3128515,1/26/20,9:12 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: could and heavy gusts",,N,Y
S64217296,American Crow,Corvus brachyrhynchos,21054,1,CA-BC,Capital,L9957765,UVIC-UVC11,48.4651322,-123.3120669,1/28/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 11.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217344,American Robin,Turdus migratorius,27969,5,CA-BC,Capital,L9956470,UVIC-EOW1,48.4614989,-123.3097366,1/28/20,9:00 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Engineering Office Wing, EOW, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217003,American Robin,Turdus migratorius,27969,4,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,1/28/20,8:10 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64216922,American Robin,Turdus migratorius,27969,5,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,1/28/20,8:00 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217094,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L10001059,UVIC-DTB2,48.4647333,-123.3141581,1/28/20,8:21 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,N
S64217003,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,1/28/20,8:10 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,N
S64217296,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9957765,UVIC-UVC11,48.4651322,-123.3120669,1/28/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 11.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,N
S64217003,Bewick's Wren,Thryomanes bewickii,26787,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,1/28/20,8:10 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,Y
S64217094,Chestnut-backed Chickadee,Poecile rufescens,21591,3,CA-BC,Capital,L10001059,UVIC-DTB2,48.4647333,-123.3141581,1/28/20,8:21 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217151,Chestnut-backed Chickadee,Poecile rufescens,21591,2,CA-BC,Capital,L9957772,UVIC-MWB5,48.4662295,-123.3139901,1/28/20,8:32 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217094,Common Raven,Corvus corax,21121,2,CA-BC,Capital,L10001059,UVIC-DTB2,48.4647333,-123.3141581,1/28/20,8:21 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"David Turpin Building, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,Y
S64217094,Dark-eyed Junco,Junco hyemalis,32449,4,CA-BC,Capital,L10001059,UVIC-DTB2,48.4647333,-123.3141581,1/28/20,8:21 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217344,Dark-eyed Junco,Junco hyemalis,32449,6,CA-BC,Capital,L9956470,UVIC-EOW1,48.4614989,-123.3097366,1/28/20,9:00 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217296,Dark-eyed Junco,Junco hyemalis,32449,3,CA-BC,Capital,L9957765,UVIC-UVC11,48.4651322,-123.3120669,1/28/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 11.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217003,European Starling,Sturnus vulgaris,27232,3,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,1/28/20,8:10 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64217094,Glaucous-winged Gull,Larus glaucescens,6484,3,CA-BC,Capital,L10001059,UVIC-DTB2,48.4647333,-123.3141581,1/28/20,8:21 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,N
S64217151,Glaucous-winged Gull,Larus glaucescens,6484,5,CA-BC,Capital,L9957772,UVIC-MWB5,48.4662295,-123.3139901,1/28/20,8:32 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Micheal Williams Building, MWB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,N
S64216922,Golden-crowned Kinglet,Regulus satrapa,26274,5,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,1/28/20,8:00 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,Y,Y
S64216922,Pacific Wren,Troglodytes pacificus,26705,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,1/28/20,8:00 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: light rain",,N,N
S64217344,Red-breasted Nuthatch,Sitta canadensis,26353,1,CA-BC,Capital,L9956470,UVIC-EOW1,48.4614989,-123.3097366,1/28/20,9:00 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S64217440,American Crow,Corvus brachyrhynchos,21054,2,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217702,American Crow,Corvus brachyrhynchos,21054,2,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,1/31/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217742,American Robin,Turdus migratorius,27969,12,CA-BC,Capital,L9963077,UVIC-EOW2,48.4614146,-123.309466,1/31/20,9:02 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overast",,Y,Y
S64217489,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9957800,UVIC-FIA3,48.4619211,-123.3169971,1/31/20,8:07 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217702,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,1/31/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217536,Bewick's Wren,Thryomanes bewickii,26787,1,CA-BC,Capital,L9963043,UVIC-DTB6,48.4649374,-123.3149472,1/31/20,8:15 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S64217536,Brown Creeper,Certhia americana,26441,1,CA-BC,Capital,L9963043,UVIC-DTB6,48.4649374,-123.3149472,1/31/20,8:15 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217742,Brown Creeper,Certhia americana,26441,2,CA-BC,Capital,L9963077,UVIC-EOW2,48.4614146,-123.309466,1/31/20,9:02 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overast",,N,N
S64217489,Bushtit,Psaltriparus minimus,24702,12,CA-BC,Capital,L9957800,UVIC-FIA3,48.4619211,-123.3169971,1/31/20,8:07 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217536,Chestnut-backed Chickadee,Poecile rufescens,21591,5,CA-BC,Capital,L9963043,UVIC-DTB6,48.4649374,-123.3149472,1/31/20,8:15 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217440,Chestnut-backed Chickadee,Poecile rufescens,21591,3,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217702,Dark-eyed Junco,Junco hyemalis,32449,3,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,1/31/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217489,European Starling,Sturnus vulgaris,27232,2,CA-BC,Capital,L9957800,UVIC-FIA3,48.4619211,-123.3169971,1/31/20,8:07 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217742,Fox Sparrow,Passerella iliaca,32425,1,CA-BC,Capital,L9963077,UVIC-EOW2,48.4614146,-123.309466,1/31/20,9:02 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overast",,N,N
S64217595,Glaucous-winged Gull,Larus glaucescens,6484,1,CA-BC,Capital,L9963063,UVIC-MWB7,48.4660709,-123.313521,1/31/20,8:30 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,N
S64217489,Golden-crowned Kinglet,Regulus satrapa,26274,3,CA-BC,Capital,L9957800,UVIC-FIA3,48.4619211,-123.3169971,1/31/20,8:07 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217440,Golden-crowned Kinglet,Regulus satrapa,26274,4,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S64217702,Hermit Thrush,Catharus guttatus,27739,1,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,1/31/20,8:47 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217595,House Finch,Haemorhous mexicanus,31648,8,CA-BC,Capital,L9963063,UVIC-MWB7,48.4660709,-123.313521,1/31/20,8:30 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Micheal Williams Building, MWB, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S64217440,Pacific Wren,Troglodytes pacificus,26705,1,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217536,Ruby-crowned Kinglet,Corthylio calendula,26270,1,CA-BC,Capital,L9963043,UVIC-DTB6,48.4649374,-123.3149472,1/31/20,8:15 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building, DTB, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S64217440,Ruby-crowned Kinglet,Corthylio calendula,26270,2,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S64217742,Song Sparrow,Melospiza melodia,32601,1,CA-BC,Capital,L9963077,UVIC-EOW2,48.4614146,-123.309466,1/31/20,9:02 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Wing, EOW, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overast",,N,N
S64217440,Song Sparrow,Melospiza melodia,32601,1,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,1/31/20,7:58 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S64217595,Song Sparrow,Melospiza melodia,32601,1,CA-BC,Capital,L9963063,UVIC-MWB7,48.4660709,-123.313521,1/31/20,8:30 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
